"a, an","indefinite, article","а,",
talk,Noun,разговор,We had a long talk about our future plans.
tall,Adjective,высокий,The basketball player is very tall.
tank,Noun,бак,The car's tank is empty; we need to refuel.
tape,Noun,лента,She used sticky tape to wrap the gift.
target,Noun,цель,His main target is to become a successful entrepreneur.
target,Verb,нацеливаться,The archer targeted the bullseye.
task,Noun,задача,Completing the assignment was a challenging task.
taste,Noun,вкус,The soup had a delicious taste.
taste,Verb,пробовать,He tasted the wine to see if it was good.
tax,Noun,налог,He had to pay income tax to the government.
tax,Verb,облагать налогом,The government decided to tax luxury goods.
taxi,Noun,такси,They took a taxi to the airport.
tea,Noun,чай,Would you like a cup of tea?
teach,Verb,учить,She teaches English at a language school.
teacher,Noun,учитель,The teacher explained the lesson to the students.
teaching,Noun,обучение,She has a passion for teaching children.
team,Noun,команда,They work together as a team to achieve their goals.
tear,Verb,рвать,She accidentally tore her dress while dancing.
tear,Noun,слеза,Tears streamed down her face as she read the emotional letter.
technical,Adjective,технический,He has a technical background in engineering.
technique,Noun,техника,The artist used a unique painting technique.
technology,Noun,технология,The rapid advancement of technology has changed our lives.
teenage,Adjective,подростковый,Teenage years can be challenging for both parents and adolescents.
teenager,Noun,подросток,The teenager is starting high school next year.
telephone,Noun,телефон,She answered the telephone and took a message.
telephone,Verb,звонить по телефону,I will telephone you as soon as I arrive.
television,Noun,телевидение,They watched their favorite show on television.
tell,Verb,говорить,Can you tell me the way to the nearest post office?
temperature,Noun,температура,The temperature outside is very hot today.
temporary,Adjective,временный,He found a temporary job to make ends meet.
ten,Number,десять,There are ten students in the classroom.
tend,Verb,иметь тенденцию,Some people tend to procrastinate when faced with difficult tasks.
tennis,Noun,большой теннис,They enjoy playing tennis on the weekends.
tent,Noun,палатка,We pitched the tent in a scenic spot near the lake.
term,Noun,срок,The term of the contract is one year.
term,Verb,называть,How would you term this situation?
terrible,Adjective,ужасный,The storm caused terrible damage to the town.
test,Noun,тест,She studied hard for the math test.
test,Verb,тестировать,The scientist will test the new drug on lab rats.
text,Noun,текст,She received a text message on her phone.
text,Verb,писать сообщение,He texted his friend to confirm their meeting.
than,Conj.,чем,He is taller than his brother.
thank,Verb,благодарить,I want to thank you for your help.
thanks,Exclam./Noun,Спасибо,Thanks for the birthday gift!
that,Det./ProNoun/Conj./Adverb,который,The book that I'm reading is very interesting.
the,Definite article,-,The cat is sleeping on the mat.
theatre,Noun,театр,They went to see a play at the local theatre.
their,Det.,их,They lost their way in the unfamiliar city.
theirs,ProNoun,их,The blue car is theirs.
them,ProNoun,их,I gave them the keys to the house.
theme,Noun,тема,"The theme of the party was ""Hawaiian Paradise."""
themselves,ProNoun,самих себя,They built the house themselves.
then,Adverb,затем,She finished her homework and then went to bed.
theory,Noun,теория,He proposed a new theory to explain the phenomenon.
therapy,Noun,терапия,She underwent physical therapy to recover from the injury.
there,Adverb,там,The keys are over there on the table.
therefore,Adverb,следовательно,"He studied hard; therefore, he passed the exam."
they,ProNoun,Они,They are going on a vacation next week.
thick,Adjective,толстый,The book has a thick cover.
thief,Noun,вор,The thief stole her purse in the crowded market.
thin,Adjective,тонкий,She has thin hair that is easy to manage.
thing,Noun,вещь,Put your things in the backpack before we leave.
think,Verb,считать,I think it's going to rain today.
thinking,Noun,мышление,Positive thinking can lead to a more fulfilling life.
third,Number/Noun,третий,He finished in third place in the race.
thirsty,Adjective,жаждущий,I'm thirsty; can I have a glass of water?
thirteen,Number,13,She celebrated her thirteenth birthday with a party.
thirty,Number,тридцать,There are thirty days in the month of July.
this,Det./ProNoun/Adverb,этот,This book belongs to me.
though,Conj./Adverb,хотя,"Though it was raining, they still went for a walk."
thought,Noun,мысль,She shared her thoughts on the matter.
thousand,Number,тысяча,He won a thousand dollars in the lottery.
threat,Noun,угроза,The company received a threat from a competitor.
